entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,pnl_pips,confluence_score,confidence,fvg_bias,timeframe,fvg_timeframe,base_lot_size,consecutive_losses_trigger,recovery_multiplier,use_atr_sl_tp,atr_sl_multiplier,atr_tp_multiplier,sl_pips,tp_pips,min_confidence_score,adx_threshold,use_statistical,weight_fvg,weight_fvg_size_atr,weight_hurst,weight_lr_deviation,weight_skewness,weight_kurtosis,weight_obv_div,weight_overlap_count,weight_regime,weight_vwap,weight_obv,weight_volume,hurst,lr_deviation,r2,skewness,kurtosis,obv_divergence,atr_percentile,score_fvg,score_fvg_size_atr,score_hurst,score_lr_deviation,score_skewness,score_kurtosis,score_obv_div,score_overlap_count,score_regime,score_vwap,score_obv,score_volume,source_file
2025-05-07 01:30:00,1.33571,BUY,0.01,1.3340866388007446,1.3389567223985106,VIRTUAL,2025-05-07 03:15:00,1.3340866388007446,SL,-1.6233611992553243,-16.233611992553243,79.39999999999999,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.8095980496739466,-1.0114955308427722,0.0075030658717482,-0.6350525672047614,1.0776151147032795,0,32.0,45,7.5,10.0,8.8,2.1,3.5,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-07 03:15:00,1.33413,BUY,0.01,1.3324607787052445,1.337468442589511,VIRTUAL,2025-05-07 12:15:00,1.3324607787052445,SL,-1.6692212947555518,-16.692212947555518,73.3,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.8345167100592238,-1.514609957243135,0.4753909510867345,-0.2253210046110014,0.2547556510741509,1,22.0,45,7.5,10.0,12.6,1.2,2.0,5.0,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-07 17:45:00,1.3366,BUY,0.01,1.3351093449207985,1.3395813101584029,VIRTUAL,2025-05-07 18:15:00,1.3351093449207985,SL,-1.4906550792015418,-14.906550792015416,71.84,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.6925644237440826,0.8758762091602982,0.1851144167238201,0.0851538598944506,-1.0378175340317686,0,65.0,45,7.5,10.0,3.8400000000000007,2.0,1.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-07 18:15:00,1.33408,BUY,0.03,1.3323720857405108,1.337495828518978,REAL,2025-05-07 21:30:00,1.3323720857405108,SL,-5.123742778467388,-17.079142594891294,82.69999999999999,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.703388329647168,-2.0117932334990383,0.1631728949051962,-0.8904136716859969,0.7581143778763098,0,44.0,45,7.5,10.0,13.6,2.1,2.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-07 23:00:00,1.32851,BUY,0.04,1.3261234518765792,1.3332830962468418,REAL,2025-05-08 04:45:00,1.3332830962468418,TP,19.092384987366984,47.73096246841746,75.1,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.6844674916932663,-2.3280832338497914,0.290702607111276,-1.3556265540359425,1.7961156160951388,0,1.0,45,7.5,10.0,13.6,3.0,3.5,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-08 04:45:00,1.33422,BUY,0.01,1.3323302363755494,1.3379995272489011,VIRTUAL,2025-05-08 08:00:00,1.3323302363755494,SL,-1.8897636244505915,-18.89763624450591,92.0,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.6870621478470291,3.70849187329751,0.6485919046758297,2.749770959922613,7.796290643472707,0,56.99999999999999,45,7.5,10.0,12.0,10.0,5.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-08 18:45:00,1.32844,BUY,0.01,1.325828232425249,1.333663535149502,VIRTUAL,2025-05-08 20:00:00,1.325828232425249,SL,-2.611767574751012,-26.11767574751012,76.4,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.6979683047601852,-0.8157343085853118,0.0008251725847374,2.005671682951573,5.535597826809566,0,15.0,45,7.5,10.0,6.4,10.0,5.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-08 20:45:00,1.32581,BUY,0.01,1.3237156317723326,1.3299987364553345,VIRTUAL,2025-05-08 22:15:00,1.3237156317723326,SL,-2.094368227667287,-20.94368227667287,75.39999999999999,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.698625746652148,-1.3175960915294689,0.0019041982673804,-0.1043478093228674,-0.9879783115282796,0,34.0,45,7.5,10.0,8.8,0.6,1.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-09 12:30:00,1.32719,BUY,0.05,1.3257575132508543,1.3300549734982916,REAL,2025-05-09 17:15:00,1.3300549734982916,TP,14.32486749145756,28.64973498291512,74.72,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7561298428525194,1.5755227789475426,0.2345956181467673,0.1299806550672138,-1.211933889106033,0,47.0,45,7.5,10.0,6.720000000000001,2.0,1.0,2.5,0,0,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-09 17:15:00,1.3312,BUY,0.01,1.3293902034225016,1.3348195931549969,VIRTUAL,2025-05-09 18:15:00,1.3293902034225016,SL,-1.809796577498357,-18.09796577498357,77.2,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.7573941447529655,2.6948909054339416,0.931023458341988,0.963312508899316,0.3761490811584917,0,23.0,45,7.5,10.0,13.2,7.0,2.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
2025-05-09 18:15:00,1.3297,BUY,0.01,1.3281099030113594,1.3328801939772814,VIRTUAL,2025-05-12 00:00:00,1.3281099030113594,SL,-1.5900969886406546,-15.900969886406546,75.8,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2.0,True,1.5,3.0,50,100,70.0,35.0,True,45,15,10,20,10,5,5,0,-10,0,0,0,0.741652042348754,-0.8693806050995139,0.9328404686099256,1.010654937069174,0.2627180932605291,0,26.0,45,7.5,10.0,8.8,10.0,2.0,2.5,0,-10,0,0,0,backtest_GBPUSD_M15_20251026_173645.csv
