entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,1000,pnl_pips,confluence_score,confidence,fvg_bias,timeframe,fvg_timeframe,base_lot_size,consecutive_losses_trigger,recovery_multiplier,use_atr_sl_tp,atr_sl_multiplier,atr_tp_multiplier,sl_pips,tp_pips,min_confidence_score,adx_threshold,use_statistical,weight_fvg,weight_fvg_size_atr,weight_hurst,weight_lr_deviation,weight_skewness,weight_kurtosis,weight_obv_div,weight_overlap_count,weight_regime,weight_vwap,weight_obv,weight_volume,hurst,lr_deviation,r2,skewness,kurtosis,obv_divergence,atr_percentile,score_fvg,score_fvg_size_atr,score_hurst,score_lr_deviation,score_skewness,score_kurtosis,score_obv_div,score_overlap_count,score_regime,score_vwap,score_obv,score_volume
5/13/2025 18:00,1.32643,BUY,0.01,1.324308397,1.330673206,VIRTUAL,5/13/2025 22:45,1.330673206,TP,4.24320605,,42.4320605,76.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.712398455,2.972738142,0.788611831,0.334628818,-0.1910992,0,1,50,7.5,0,15,4,0,0,0,0,0,0,0
5/13/2025 22:45,1.33057,BUY,0.01,1.329545358,1.332619284,VIRTUAL,5/14/2025 9:00,1.329545358,SL,-1.024641945,,-10.24641945,70,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.722057202,-0.095816716,0.897269524,0.815264773,0.295280844,0,67,50,7.5,0,5.5,7,0,0,0,0,0,0,0
5/14/2025 11:15,1.33521,BUY,0.01,1.332933349,1.339763303,VIRTUAL,5/14/2025 14:15,1.332933349,SL,-2.276651482,,-22.76651482,73.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.735522126,4.559237409,0.088721974,0.482554847,-0.280728337,0,8,50,7.5,0,12,4,0,0,0,0,0,0,0
5/14/2025 17:30,1.32946,BUY,0.01,1.327357325,1.33366535,VIRTUAL,5/14/2025 19:30,1.327357325,SL,-2.102674977,,-21.02674977,78.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.771494102,-2.4918293,0.21561614,0.460136821,-1.146922309,0,15,50,7.5,0,17,4,0,0,0,0,0,0,0
5/14/2025 19:30,1.32809,BUY,0.03,1.325968464,1.332333072,REAL,5/14/2025 22:00,1.325968464,SL,-6.364608333,,-21.21536111,72.7,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.724470221,-1.829016818,0.00949271,-0.203592497,-0.485472693,0,13,50,7.5,0,14,1.2,0,0,0,0,0,0,0
5/15/2025 0:30,1.32555,BUY,0.1,1.324311546,1.328026909,REAL,5/15/2025 4:15,1.328026909,TP,24.76908505,,24.76908505,71.15,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.727426172,1.623149914,0.968130877,-0.880545871,2.257261249,0,67,50,7.5,0,11.55,2.1,0,0,0,0,0,0,0
5/15/2025 4:15,1.32786,BUY,0.01,1.326969062,1.329641875,VIRTUAL,5/15/2025 8:30,1.326969062,SL,-0.890937678,,-8.909376783,74.25,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.723355847,2.236485375,0.636921404,0.275649641,-0.571196211,0,97,50,7.5,0,12.75,4,0,0,0,0,0,0,0
5/15/2025 9:45,1.33041,BUY,0.01,1.328978412,1.333273176,VIRTUAL,5/15/2025 10:00,1.328978412,SL,-1.431588073,,-14.31588073,74.5,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.740014256,2.732542427,0.648769386,0.136545457,-1.037873958,0,52,50,7.5,0,15,2,0,0,0,0,0,0,0
5/16/2025 11:30,1.33089,BUY,0.01,1.329687298,1.333295403,VIRTUAL,5/16/2025 12:45,1.329687298,SL,-1.202701522,,-12.02701522,77.825,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.771019327,-2.461437367,0.509400344,-0.466382614,-0.20051428,0,47,50,7.5,0,19.125,1.2,0,0,0,0,0,0,0
5/16/2025 12:45,1.32926,BUY,0.04,1.327996673,1.331786655,REAL,5/16/2025 15:15,1.327996673,SL,-5.053309347,,-12.63327337,78.7,HIGH,BULLISH_BIAS,M15,H1,0.01,3,2,TRUE,1.5,3,50,100,70,35,TRUE,50,15,0,25,10,0,0,0,0,0,0,0,0.802744306,-3.039380178,0.09289653,-0.333323169,-0.597665022,0,39,50,7.5,0,20,1.2,0,0,0,0,0,0,0
