entry_time,entry_price,direction,lot_size,sl_price,tp_price,mode,exit_time,exit_price,exit_reason,pnl,pnl_pips,confluence_score,confidence,fvg_bias
2025-05-21 05:00:00,1.34237,BUY,0.01,1.3401841044591025,1.3467417910817951,VIRTUAL,2025-05-21 09:00:00,1.3467417910817951,TP,4.3717910817950845,43.717910817950845,89.5,HIGH,BULLISH_BIAS
2025-05-21 09:00:00,1.34455,BUY,0.01,1.3418862089374108,1.3498775821251783,VIRTUAL,2025-05-21 10:00:00,1.3418862089374108,SL,-2.6637910625890715,-26.637910625890715,100.0,HIGH,BULLISH_BIAS
2025-05-21 10:00:00,1.34125,BUY,0.01,1.3382173810790894,1.3473152378418212,VIRTUAL,2025-05-23 10:00:00,1.3473152378418212,TP,6.065237841821114,60.652378418211136,95.5,HIGH,BULLISH_BIAS
2025-05-23 10:00:00,1.34799,BUY,0.01,1.3454385459584697,1.3530929080830605,VIRTUAL,2025-05-23 15:00:00,1.3530929080830605,TP,5.1029080830604645,51.02908083060464,89.5,HIGH,BULLISH_BIAS
2025-05-23 15:00:00,1.35181,BUY,0.01,1.3481927906825455,1.3590444186349087,VIRTUAL,2025-05-23 16:00:00,1.3481927906825455,SL,-3.6172093174544613,-36.172093174544614,100.0,HIGH,BULLISH_BIAS
2025-05-23 16:00:00,1.34824,BUY,0.01,1.3442670852582064,1.3561858294835876,VIRTUAL,2025-05-26 04:00:00,1.3561858294835876,TP,7.945829483587463,79.45829483587463,100.0,HIGH,BULLISH_BIAS
2025-05-26 04:00:00,1.35843,BUY,0.01,1.3554327972438738,1.3644244055122527,VIRTUAL,2025-05-26 15:00:00,1.3554327972438738,SL,-2.9972027561262498,-29.972027561262493,85.0,HIGH,BULLISH_BIAS
2025-05-27 09:00:00,1.35476,BUY,0.01,1.3525023710148552,1.3592752579702894,VIRTUAL,2025-05-27 10:00:00,1.3525023710148552,SL,-2.2576289851448106,-22.576289851448106,85.0,HIGH,BULLISH_BIAS
2025-05-27 10:00:00,1.35252,BUY,0.01,1.3498553882128745,1.3578492235742508,VIRTUAL,2025-05-28 04:00:00,1.3498553882128745,SL,-2.6646117871254043,-26.646117871254038,85.0,HIGH,BULLISH_BIAS
2025-05-28 10:00:00,1.34985,BUY,0.01,1.3473449627505856,1.3548600744988288,REAL,2025-05-28 15:00:00,1.3473449627505856,SL,-2.5050372494144213,-25.050372494144213,89.5,HIGH,BULLISH_BIAS
2025-05-28 16:00:00,1.34668,BUY,0.013000000000000001,1.3438592121555395,1.3523215756889213,REAL,2025-05-29 02:00:00,1.3438592121555395,SL,-3.667024197798785,-28.207878444606038,80.5,HIGH,BULLISH_BIAS
2025-05-29 02:00:00,1.34284,BUY,0.016900000000000002,1.3401013104003614,1.3483173791992773,REAL,2025-05-29 13:00:00,1.3483173791992773,TP,9.256770846778581,54.77379199277266,80.5,HIGH,BULLISH_BIAS
2025-05-29 13:00:00,1.34729,BUY,0.01,1.344532554689829,1.352804890620342,VIRTUAL,2025-06-02 09:00:00,1.352804890620342,TP,5.514890620341939,55.148906203419386,85.0,HIGH,BULLISH_BIAS
2025-06-02 09:00:00,1.35314,BUY,0.01,1.3503553285635177,1.3587093428729649,VIRTUAL,2025-06-03 14:00:00,1.3503553285635177,SL,-2.784671436482311,-27.84671436482311,85.0,HIGH,BULLISH_BIAS
2025-06-04 11:00:00,1.354,BUY,0.01,1.351411559021158,1.3591768819576842,VIRTUAL,2025-06-04 14:00:00,1.351411559021158,SL,-2.5884409788421436,-25.884409788421436,85.0,HIGH,BULLISH_BIAS
2025-06-04 17:00:00,1.35769,BUY,0.01,1.3544138871025388,1.3642422257949223,VIRTUAL,2025-06-05 04:00:00,1.3544138871025388,SL,-3.276112897461214,-32.76112897461214,100.0,HIGH,BULLISH_BIAS
2025-06-05 09:00:00,1.35469,BUY,0.01,1.3527478803552486,1.3585742392895028,REAL,2025-06-05 15:00:00,1.3585742392895028,TP,3.8842392895028777,38.84239289502877,85.0,HIGH,BULLISH_BIAS
2025-06-05 15:00:00,1.35791,BUY,0.01,1.3554067570988981,1.3629164858022036,VIRTUAL,2025-06-06 09:00:00,1.3554067570988981,SL,-2.503242901101821,-25.03242901101821,100.0,HIGH,BULLISH_BIAS
2025-06-09 09:00:00,1.35685,BUY,0.01,1.3548923193642577,1.360765361271484,VIRTUAL,2025-06-09 15:00:00,1.3548923193642577,SL,-1.9576806357421985,-19.576806357421983,85.0,HIGH,BULLISH_BIAS
2025-06-09 15:00:00,1.35365,BUY,0.01,1.351436463622345,1.35807707275531,VIRTUAL,2025-06-10 09:00:00,1.351436463622345,SL,-2.213536377654979,-22.135363776549788,95.5,HIGH,BULLISH_BIAS
2025-06-10 09:00:00,1.34823,BUY,0.01,1.3452320528125383,1.3542258943749232,REAL,2025-06-11 15:00:00,1.3542258943749232,TP,5.995894374923205,59.95894374923205,80.5,HIGH,BULLISH_BIAS
2025-06-11 16:00:00,1.35186,BUY,0.01,1.3485697744447418,1.3584404511105166,VIRTUAL,2025-06-12 03:00:00,1.3584404511105166,TP,6.5804511105165275,65.80451110516528,100.0,HIGH,BULLISH_BIAS
2025-06-12 03:00:00,1.35834,BUY,0.01,1.355533919681074,1.3639521606378522,VIRTUAL,2025-06-12 10:00:00,1.355533919681074,SL,-2.806080318926041,-28.060803189260408,85.0,HIGH,BULLISH_BIAS
2025-06-12 11:00:00,1.35662,BUY,0.01,1.3532871963748505,1.3632856072502988,VIRTUAL,2025-06-13 07:00:00,1.3532871963748505,SL,-3.3328036251494275,-33.328036251494275,80.5,HIGH,BULLISH_BIAS
2025-06-13 19:00:00,1.35948,BUY,0.01,1.3558477594403096,1.366744481119381,VIRTUAL,2025-06-16 00:00:00,1.3558477594403096,SL,-3.6322405596904694,-36.322405596904694,85.0,HIGH,BULLISH_BIAS
2025-06-16 03:00:00,1.35501,BUY,0.01,1.3517952047180393,1.3614395905639218,REAL,2025-06-16 16:00:00,1.3614395905639218,TP,6.429590563921784,64.29590563921784,85.0,HIGH,BULLISH_BIAS
2025-06-16 16:00:00,1.36114,BUY,0.01,1.3584046798921463,1.3666106402157072,VIRTUAL,2025-06-16 22:00:00,1.3584046798921463,SL,-2.7353201078537115,-27.353201078537115,95.5,HIGH,BULLISH_BIAS
2025-06-17 01:00:00,1.35737,BUY,0.01,1.3549726158555824,1.362164768288835,VIRTUAL,2025-06-17 11:00:00,1.3549726158555824,SL,-2.3973841444175914,-23.973841444175914,85.0,HIGH,BULLISH_BIAS
2025-06-17 15:00:00,1.35478,BUY,0.01,1.3521813140517456,1.3599773718965094,VIRTUAL,2025-06-17 17:00:00,1.3521813140517456,SL,-2.5986859482545195,-25.9868594825452,80.5,HIGH,BULLISH_BIAS
2025-06-17 17:00:00,1.35122,BUY,0.01,1.3479051647766445,1.3578496704467116,REAL,2025-06-17 19:00:00,1.3479051647766445,SL,-3.3148352233556273,-33.148352233556274,80.5,HIGH,BULLISH_BIAS
2025-06-18 10:00:00,1.3459,BUY,0.013000000000000001,1.3432746686722294,1.3511506626555412,REAL,2025-06-18 21:00:00,1.3432746686722294,SL,-3.4129307261018487,-26.253313277706525,85.0,HIGH,BULLISH_BIAS
2025-06-19 11:00:00,1.34274,BUY,0.016900000000000002,1.3397350778976314,1.3487498442047376,REAL,2025-06-20 03:00:00,1.3487498442047376,TP,10.156636706006548,60.09844204737602,85.0,HIGH,BULLISH_BIAS
2025-06-20 03:00:00,1.34881,BUY,0.01,1.346396831064377,1.3536363378712464,VIRTUAL,2025-06-20 10:00:00,1.346396831064377,SL,-2.4131689356230446,-24.131689356230446,85.0,HIGH,BULLISH_BIAS
2025-06-20 11:00:00,1.34912,BUY,0.01,1.346503200561725,1.3543535988765503,VIRTUAL,2025-06-20 17:00:00,1.346503200561725,SL,-2.616799438275086,-26.16799438275086,95.5,HIGH,BULLISH_BIAS
2025-06-20 17:00:00,1.34648,BUY,0.01,1.3435006549772412,1.3524386900455174,VIRTUAL,2025-06-23 00:00:00,1.3435006549772412,SL,-2.9793450227586504,-29.793450227586504,95.5,HIGH,BULLISH_BIAS
2025-06-23 02:00:00,1.34348,BUY,0.01,1.3400964911705817,1.3502470176588366,REAL,2025-06-23 12:00:00,1.3400964911705817,SL,-3.3835088294182913,-33.83508829418291,85.0,HIGH,BULLISH_BIAS
2025-06-23 16:00:00,1.34247,BUY,0.013000000000000001,1.3385219362813559,1.3503661274372887,REAL,2025-06-23 18:00:00,1.3503661274372887,TP,10.264965668475211,78.96127437288624,89.5,HIGH,BULLISH_BIAS
2025-06-23 18:00:00,1.34895,BUY,0.01,1.344382298806885,1.35808540238623,VIRTUAL,2025-06-24 09:00:00,1.35808540238623,TP,9.135402386230007,91.35402386230007,89.5,HIGH,BULLISH_BIAS
2025-06-24 09:00:00,1.35817,BUY,0.01,1.3551954197850287,1.364119160429943,VIRTUAL,2025-06-24 17:00:00,1.364119160429943,TP,5.949160429942869,59.49160429942868,89.5,HIGH,BULLISH_BIAS
2025-06-24 17:00:00,1.36221,BUY,0.01,1.3587637723859827,1.3691024552280344,VIRTUAL,2025-06-26 02:00:00,1.3691024552280344,TP,6.8924552280345,68.924552280345,95.5,HIGH,BULLISH_BIAS
2025-06-26 02:00:00,1.36897,BUY,0.01,1.3666471619017746,1.373615676196451,VIRTUAL,2025-06-26 10:00:00,1.373615676196451,TP,4.645676196451064,46.45676196451065,85.0,HIGH,BULLISH_BIAS
2025-06-26 10:00:00,1.37369,BUY,0.01,1.3711433565006148,1.3787832869987706,VIRTUAL,2025-06-26 14:00:00,1.3711433565006148,SL,-2.5466434993852705,-25.466434993852705,95.5,HIGH,BULLISH_BIAS
2025-06-26 14:00:00,1.37076,BUY,0.01,1.3676416731854628,1.3769966536290743,VIRTUAL,2025-06-26 19:00:00,1.3769966536290743,TP,6.23665362907433,62.36653629074329,89.5,HIGH,BULLISH_BIAS
2025-06-26 19:00:00,1.37549,BUY,0.01,1.3716603704915886,1.383149259016823,VIRTUAL,2025-06-27 01:00:00,1.3716603704915886,SL,-3.82962950841148,-38.2962950841148,85.0,HIGH,BULLISH_BIAS
2025-06-27 01:00:00,1.37199,BUY,0.01,1.369283050224385,1.37740389955123,VIRTUAL,2025-06-27 20:00:00,1.369283050224385,SL,-2.7069497756151417,-27.069497756151417,85.0,HIGH,BULLISH_BIAS
2025-07-01 03:00:00,1.37409,BUY,0.01,1.3719422317148324,1.378385536570335,VIRTUAL,2025-07-01 13:00:00,1.378385536570335,TP,4.29553657033499,42.9553657033499,85.0,HIGH,BULLISH_BIAS
2025-07-01 13:00:00,1.37753,BUY,0.01,1.374825150432359,1.3829396991352818,VIRTUAL,2025-07-01 15:00:00,1.374825150432359,SL,-2.704849567640944,-27.048495676409434,89.5,HIGH,BULLISH_BIAS
2025-07-31 13:00:00,1.32285,SELL,0.01,1.3259369292913545,1.3166761414172912,VIRTUAL,2025-08-01 11:00:00,1.3166761414172912,TP,6.173858582708913,61.73858582708913,85.0,HIGH,BEARISH_BIAS
2025-08-01 11:00:00,1.31609,SELL,0.01,1.3188036132906475,1.3106627734187049,VIRTUAL,2025-08-01 15:00:00,1.3188036132906475,SL,-2.7136132906475656,-27.136132906475652,85.0,HIGH,BEARISH_BIAS
2025-08-01 15:00:00,1.32852,SELL,0.01,1.3341502147001318,1.3172595705997359,VIRTUAL,2025-08-06 18:00:00,1.3341502147001318,SL,-5.630214700131919,-56.30214700131919,85.0,HIGH,BEARISH_BIAS
2025-08-06 18:00:00,1.33582,SELL,0.01,1.338463615299011,1.330532769401978,VIRTUAL,2025-08-07 14:00:00,1.338463615299011,SL,-2.6436152990110267,-26.436152990110262,80.5,HIGH,BEARISH_BIAS
2025-08-07 14:00:00,1.34129,SELL,0.01,1.3440988812233263,1.3356722375533474,REAL,2025-08-07 22:00:00,1.3440988812233263,SL,-2.808881223326232,-28.088812233262317,85.0,HIGH,BEARISH_BIAS
2025-08-08 04:00:00,1.34372,SELL,0.013000000000000001,1.346129536879637,1.3389009262407259,REAL,2025-08-11 06:00:00,1.346129536879637,SL,-3.132397943528198,-24.095368796370753,85.0,HIGH,BEARISH_BIAS
2025-08-11 15:00:00,1.34233,SELL,0.016900000000000002,1.3446432380234425,1.3377035239531148,REAL,2025-08-12 09:00:00,1.3446432380234425,SL,-3.909372259617861,-23.13238023442521,95.5,HIGH,BEARISH_BIAS
2025-08-12 09:00:00,1.34339,SELL,0.021970000000000003,1.3454347948753214,1.3393004102493573,REAL,2025-08-12 10:00:00,1.3454347948753214,SL,-4.492414341080845,-20.447948753212764,80.5,HIGH,BEARISH_BIAS
2025-08-20 18:00:00,1.34489,SELL,0.028561000000000007,1.3477652655565828,1.3391394688868343,REAL,2025-08-21 12:00:00,1.3477652655565828,SL,-8.212045956156441,-28.752655565829066,89.5,HIGH,BEARISH_BIAS
2025-08-21 15:00:00,1.34463,SELL,0.03712930000000001,1.3471674298979925,1.3395551402040151,REAL,2025-08-22 07:00:00,1.3395551402040151,TP,18.84259918230613,50.74859795984876,95.5,HIGH,BEARISH_BIAS
