confidence_score,adx_threshold,loss_trigger,total_trades,win_rate,profit_factor,return_pct,max_drawdown,virtual_trades,real_trades
85,35,1,235,33.61702127659574,1.0357846120056873,6.432505815545099,28.79952901666632,80,155
85,35,2,235,33.61702127659574,1.0099168293411485,1.5328363434645098,23.146711385339387,134,101
85,35,3,235,33.61702127659574,0.9828831184540165,-2.396681412910141,19.735671681869924,172,63
85,35,5,235,33.61702127659574,0.9542276052501552,-5.811874350080728,17.630816938454252,212,23
90,20,1,124,33.064516129032256,1.022724233882826,2.660720285350976,49.377068151408395,42,82
90,20,2,124,33.064516129032256,1.0142938617140014,1.3995743754833114,38.31207113273101,70,54
90,20,3,124,33.064516129032256,1.0048101295186271,0.4100160583058283,29.85064669546349,88,36
90,20,5,124,33.064516129032256,0.9720731070757537,-1.9831295271103784,18.91210304010723,107,17
90,25,1,124,33.064516129032256,1.022724233882826,2.660720285350976,49.377068151408395,42,82
90,25,2,124,33.064516129032256,1.0142938617140014,1.3995743754833114,38.31207113273101,70,54
90,25,3,124,33.064516129032256,1.0048101295186271,0.4100160583058283,29.85064669546349,88,36
90,25,5,124,33.064516129032256,0.9720731070757537,-1.9831295271103784,18.91210304010723,107,17
90,30,1,124,33.064516129032256,1.022724233882826,2.660720285350976,49.377068151408395,42,82
90,30,2,124,33.064516129032256,1.0142938617140014,1.3995743754833114,38.31207113273101,70,54
90,30,3,124,33.064516129032256,1.0048101295186271,0.4100160583058283,29.85064669546349,88,36
90,30,5,124,33.064516129032256,0.9720731070757537,-1.9831295271103784,18.91210304010723,107,17
90,35,1,124,33.064516129032256,1.022724233882826,2.660720285350976,49.377068151408395,42,82
90,35,2,124,33.064516129032256,1.0142938617140014,1.3995743754833114,38.31207113273101,70,54
90,35,3,124,33.064516129032256,1.0048101295186271,0.4100160583058283,29.85064669546349,88,36
90,35,5,124,33.064516129032256,0.9720731070757537,-1.9831295271103784,18.91210304010723,107,17
